Treatment,PriorPercentCorrect,ProblemCount,complete
E,0.627959414,3,1
E,0.704460967,6,1
E,0.637236084,5,1
C,0.498287671,3,0
C,0.524249423,3,1
E,0.462427746,3,1
E,0.735023041,3,1
C,0.845265589,3,1
C,0.445727483,3,1
C,0.724540902,3,1
C,0.392,3,1
C,0.281755196,6,1
C,0.30726257,4,1
C,0.602067183,12,1
C,0.58891455,13,0
E,0.731301939,3,1
C,0.621223287,3,1
E,0.820058997,3,1
C,0.631995776,3,1
E,0.702986279,3,1
C,0.834429169,3,1
C,0.6485623,6,1
E,0.7436751,3,1
E,0.588904694,6,1
C,0.774358974,4,1
E,0.662676823,5,1
C,0.684351554,4,1
C,0.630061771,3,1
E,0.735737705,3,1
C,0.632206759,3,1
E,0.626523297,4,1
C,0.704248366,4,1
C,0.550632911,3,1
C,0.368421053,8,1
C,0.715031315,3,1
E,0.590047393,4,1
E,0.619622642,3,1
C,0.574730354,5,1
E,0.695415695,3,1
C,0.788235294,5,1
C,0.46039604,6,1
C,0.575342466,4,0
E,0.4,4,1
C,0.238738739,6,1
E,0.309782609,2,0
C,0.414364641,3,0
E,0.190265487,6,1
C,0.660749507,3,0
C,0.403846154,4,0
C,0.562085308,3,1
E,0.783410138,3,1
C,0.734604106,3,1
E,0.560085837,4,1
E,0.512195122,1,0
E,0.768321513,3,1
E,0.560420315,7,1
C,0.856070941,1,0
C,0.806184012,3,1
C,0.545727136,3,1
E,0.80952381,6,1
C,0.659732541,1,0
E,0.67854251,3,1
E,0.874806801,3,1
E,0.594351733,3,1
C,0.677316294,4,1
C,0.752955083,7,1
C,0.779661017,4,1
C,0.371452421,7,1
C,0.785953177,3,1
E,0.344370861,5,1
C,0.598746082,6,0
E,0.720439189,3,1
C,0.830508475,3,1
E,0.425531915,5,1
C,0.812587413,3,1
C,0.609947644,5,1
E,0.786138614,3,1
C,0.728667306,5,1
C,0.756647865,3,1
E,0.610035211,9,1
E,0.934318555,3,1
E,0.609218437,5,1
C,0.5534645,3,1
E,0.525641026,4,1
C,0.484502447,4,1
E,0.733840304,1,0
C,0.715246637,3,1
C,0.507479862,4,0
E,0.737623762,1,0
C,0.635,1,0
E,0.67120954,4,1
E,0.67551963,6,1
E,0.559183673,5,1
E,0.478195489,6,1
E,0.448801743,7,1
E,0.441696113,2,0
E,0.351724138,8,1
E,0.638461538,5,1
C,0.473684211,5,1
C,0.307692308,6,0
E,0.360655738,7,1
E,0.665725047,6,1
E,0.6696,3,0
E,0.616107383,3,1
C,0.610250298,3,1
C,0.254166667,19,0
E,0.515,1,0
E,0.468899522,4,1
C,0.555201699,3,1
E,0.768715084,4,1
E,0.56,5,1
C,0.571428571,4,1
C,0.479468599,6,1
C,0.389473684,8,1
E,0.658238173,3,1
C,0.774019985,3,0
C,0.419811321,3,1
C,0.724761426,4,1
E,0.685382381,3,1
C,0.671914894,3,1
E,0.708791209,1,0
C,0.578947368,3,1
E,0.326086957,5,0
C,0.542071647,9,1
E,0.425806452,6,1
E,0.608108108,10,1
C,0.672461116,5,1
E,0.696202532,5,1
E,0.698294243,3,1
C,0.598249801,14,1
C,0.594339623,4,1
E,0.698600646,2,0
C,0.762619372,3,1
E,0.692629816,3,1
E,0.770339856,3,1
E,0.45,2,0
E,0.275,5,0
C,0.557692308,4,1
E,0.699463327,4,1
C,NA,3,0
C,NA,4,0
E,0.646936656,3,1
C,NA,2,0
E,0.72972973,1,0
C,0.666666667,2,0
E,NA,5,1
E,0.5,1,0
E,NA,2,0
C,0.428571429,1,0
E,NA,2,0
C,NA,3,1
E,NA,3,0
E,NA,3,0
C,NA,1,0
C,0.75,7,0
E,0.735294118,4,1
E,0.548387097,3,1
C,0.8125,4,0
E,0.65,5,1
E,0.789473684,1,0
E,1,11,0
C,0.291666667,10,1
C,0.8,3,1
C,1,6,1
E,0.793103448,6,1
C,0.333333333,9,0
C,0.685714286,5,1
C,0.6,5,1
E,0.764705882,3,1
C,NA,5,1
C,NA,7,1
C,NA,5,0
E,NA,1,0
E,NA,9,1
E,NA,11,1
E,NA,8,1
E,NA,1,0
C,NA,1,0
E,NA,1,0
E,NA,3,1
C,NA,8,1
E,NA,5,1
E,NA,4,0
C,NA,8,1
C,NA,5,1
C,NA,8,1
C,NA,3,1
C,NA,4,0
E,NA,1,0
E,NA,7,1
C,NA,4,1
E,NA,7,1
E,NA,4,1
E,NA,3,1
C,NA,5,1
C,NA,3,1
C,NA,3,1
C,NA,5,1
E,NA,6,1
E,NA,4,0
C,NA,5,1
E,NA,5,1
C,NA,1,0
C,NA,1,0
E,NA,4,1
E,NA,5,1
E,NA,3,1
E,NA,18,1
E,NA,7,1
E,NA,7,1
E,NA,8,1
C,NA,7,1
C,NA,3,1
C,NA,3,1
E,NA,1,0
C,NA,3,1
E,NA,1,0
E,NA,2,0
C,NA,3,0
C,NA,1,0
C,NA,1,0
E,NA,4,0
E,NA,5,1
E,NA,4,1
C,NA,1,0
C,NA,4,1
E,NA,7,1
E,NA,3,1
E,0.690869087,4,1
C,0.619900498,3,1
E,0.594095941,5,1
E,0.770334928,3,1
C,0.716853933,2,0
C,0.808656036,2,0
C,0.712328767,5,1
E,0.642,6,1
C,0.70242915,8,1
C,0.727106227,1,0
C,0.695652174,3,1
E,0.695918367,3,1
C,0.75462963,7,1
C,0.729119639,3,1
C,0.729310345,3,1
C,0.751162791,5,1
C,0.6953125,3,1
E,0.749333333,4,1
E,0.763636364,4,1
E,0.717948718,3,1
C,0.755344418,3,0
E,0.773033708,3,1
E,0.746183206,6,1
E,0.73964497,2,0
E,0.856749311,3,1
C,0.613861386,5,1
E,0.776223776,1,0
E,0.654850746,8,1
E,0.640625,3,1
C,0.669245648,3,1
C,0.60952381,3,1
E,0.708510638,3,1
E,0.752808989,3,1
C,0.782816229,1,0
E,0.655172414,1,0
C,0.784444444,1,0
E,0.64,1,0
C,0.810690423,3,1
E,0.751445087,3,1
E,0.682403433,8,1
E,0.751141553,1,0
E,0.801699717,4,1
E,0.763157895,3,1
E,0.672093023,3,1
C,0.673866091,1,0
E,0.81498829,5,1
C,0.693227092,5,1
C,0.742677824,3,1
C,0.822452229,3,1
E,0.763513514,1,0
E,0.628252788,2,0
E,0.690661479,7,1
C,0.744730679,3,1
C,0.712359551,3,1
E,0.643527205,11,1
E,0.790865385,1,0
C,0.74595843,1,0
C,0.819174757,3,1
C,0.771331058,1,0
C,0.793522267,3,1
C,0.696569921,6,1
E,0.759381898,3,1
C,0.760089686,1,0
C,0.587272727,7,1
C,0.640306122,1,0
C,0.49321267,1,0
C,0.781879195,5,1
C,0.469879518,1,0
E,0.704663212,4,1
C,0.874715262,3,1
